Trib,Hatchery,Natural,Total_escape,Year,No_hatch_ret,Source,Hatch.flag,Run
Yuba River,0.65,0.35,7723,2011,5019.95,CWT report,0,Fall/Spr
Yuba River,0.45,0.55,6649,2012,2992.05,CWT report,0,Fall/Spr
Antelope Creek,0.05,0.95,17,2010,0.85,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Antelope Creek,0.05,0.95,6,2011,0.3,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Antelope Creek,0.05,0.95,1,2012,0.05,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Battle Creek,0.05,0.95,172,2010,8.6,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Battle Creek,0.05,0.95,157,2011,7.85,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Battle Creek,0.05,0.95,799,2012,39.95,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Big Chico Creek,0.05,0.95,2,2010,0.1,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Big Chico Creek,0.05,0.95,124,2011,6.2,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Big Chico Creek,0.05,0.95,0,2012,0,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Butte Creek,0.015,0.985,1979,2010,29.685,CWT report,0,Spring
Butte Creek,0,1,16140,2012,0,CWT report,0,Spring
Butte Creek,0,1,4497,2011,0,CWT report,0,Spring
Clear Creek,0.05,0.95,21,2010,1.05,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Clear Creek,0.05,0.95,8,2011,0.4,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Clear Creek,0.05,0.95,68,2012,3.4,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Cottonwood Creek,0.05,0.95,15,2010,0.75,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Cottonwood Creek,0.05,0.95,2,2011,0.1,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Cottonwood Creek,0.05,0.95,1,2012,0.05,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Deer Creek,0.05,0.95,262,2010,13.1,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Deer Creek,0.05,0.95,271,2011,13.55,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Deer Creek,0.05,0.95,734,2012,36.7,Grandtab but % hatchery is baseline assumption because CWT did not sample,0,Spring
Feather River Hatchery,0.82,0.18,1661,2010,1362.02,CWT report,1,Spring
Feather River Hatchery,0.94,0.06,1969,2011,1850.86,CWT report,1,Spring
Feather River Hatchery,0.99,0.01,3738,2012,3700.62,CWT report,1,Spring
Mill Creek,0,1,482,2010,0,CWT report,0,Spring
Mill Creek,0,1,366,2011,0.0001,CWT report,0,Spring
Mill Creek,0,1,786,2102,0,CWT report,0,Spring
Coleman National Fish Hatchery ,0.96,0.04,1556,2010,1493.76,Grandtab,1,Winter
Coleman National Fish Hatchery ,0.928,0.072,1296,2012,1202.688,Grandtab,1,Winter
Upper Sacramento River ,0.039,0.961,1596,2010,62.244,Chinookprod,0,Winter
Upper Sacramento River ,0.29,0.71,2671,2012,774.59,CWT,0,Winter
